사고년도,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
2020,경상남도 진주시1,경상남도 진주시 칠암동(진양교 부근),4,4,1,1,2,0,128.0975521,35.17890782
2020,경상남도 사천시1,경상남도 사천시 동금동(동금2길32 부근),5,5,0,2,2,1,128.0777548,34.93113564
2020,경상남도 김해시1,경상남도 김해시 봉황동(가락로13 부근),5,5,0,3,2,0,128.8825472,35.22793197
2020,경상남도 김해시2,경상남도 김해시 부원동(김해대로2367 부근),4,4,0,2,2,0,128.887489,35.2266602
2021,서울특별시 종로구1,서울특별시 종로구 세종로(세종로180 부근),5,5,0,2,2,1,126.977277,37.56954474
2021,서울특별시 종로구2,서울특별시 종로구 창신동(흥인지문사거리 부근),3,4,1,0,2,1,127.0087898,37.57117419
2021,서울특별시 중구1,서울특별시 중구 신당동(신평화시장 부근),5,6,0,0,6,0,127.013063,37.56973988
2021,서울특별시 용산구1,서울특별시 용산구 한강로2가(유미빌딩 부근),4,4,0,2,2,0,126.967466,37.5300918
2021,서울특별시 성동구1,서울특별시 성동구 금호동4가(금호삼거리 부근),6,7,0,2,4,1,127.0242847,37.54415856
2021,서울특별시 성동구2,서울특별시 성동구 마장동(도선사거리 부근),5,7,0,1,5,1,127.0365604,37.56585435
2021,서울특별시 성동구3,서울특별시 성동구 성수동2가(윤진약국 부근),5,5,0,1,4,0,127.053921,37.53754188
2021,서울특별시 성동구4,서울특별시 성동구 성수동2가(성수역앞교차로 부근),5,5,0,0,4,1,127.0571331,37.54413676
2021,서울특별시 성동구5,서울특별시 성동구 성수동2가(성수여중 부근),4,4,1,1,1,1,127.0504005,37.5400541
2021,서울특별시 성동구6,서울특별시 성동구 성수동1가(성수동1가68915 부근),4,4,0,1,3,0,127.0379878,37.53928511
2021,서울특별시 성동구7,서울특별시 성동구 응봉동(응봉교남측 부근),4,4,0,1,2,1,127.0345055,37.54925334
2021,서울특별시 광진구1,서울특별시 광진구 자양동(갈보리교회 인근),5,5,0,2,3,0,127.0700871,37.52803771
2021,서울특별시 광진구2,서울특별시 광진구 자양동(자양사거리 부근),4,4,0,2,2,0,127.0838015,37.53647198
2021,서울특별시 동대문구1,서울특별시 동대문구 용두동(시립동부병원앞교차로 부근),8,10,0,1,8,1,127.0321253,37.57415507
2021,서울특별시 동대문구2,서울특별시 동대문구 장안동(화승상사 부근),7,8,0,2,5,1,127.0700889,37.56105682
2021,서울특별시 동대문구3,서울특별시 동대문구 제기동(경동시장앞교차로 부근),7,7,0,2,2,3,127.0383551,37.57847283
2021,서울특별시 동대문구4,서울특별시 동대문구 용두동(동대문구청사거리 부근),7,7,0,1,4,2,127.0383009,37.57354197
2021,서울특별시 동대문구5,서울특별시 동대문구 답십리동(신답역앞교차로 부근),6,6,0,3,1,2,127.0486905,37.57012894
2021,서울특별시 동대문구6,서울특별시 동대문구 청량리동(성바오로병원앞교차로 부근),6,7,0,1,6,0,127.0436382,37.57978671
2021,서울특별시 동대문구7,서울특별시 동대문구 제기동(식당재료유통할인 부근),6,6,0,0,3,3,127.0406391,37.5831371
2021,서울특별시 동대문구8,서울특별시 동대문구 용두동(마장IC 부근),5,6,0,2,4,0,127.0346675,37.57639117
2021,서울특별시 동대문구9,서울특별시 동대문구 전농동(배봉초교앞교차로 부근),5,5,0,2,3,0,127.0678147,37.57866473
2021,서울특별시 동대문구10,서울특별시 동대문구 휘경동(회기역앞교차로 부근),4,4,0,3,0,1,127.0552795,37.58952062
