사고년도,지역,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
2022,,서울특별시 구로구5,서울특별시 구로구 개봉동(개봉사거리 부근),4,5,0,2,3,0,126.8572527,37.49748057
2022,,서울특별시 구로구6,서울특별시 구로구 고척동(구로구광명시 부근),4,4,0,2,2,0,126.8663594,37.49268499
2022,,서울특별시 구로구7,서울특별시 구로구 구로동(구로구청구의회앞교차 부근),4,4,0,0,4,0,126.8873094,37.49467769
2022,,서울특별시 금천구1,서울특별시 금천구 독산동(평강교회 부근),4,4,0,2,2,0,126.8908403,37.45342678
2022,,서울특별시 금천구2,서울특별시 금천구 가산동(구로아파트 부근),4,5,0,1,2,2,126.8890036,37.47678449
2022,,서울특별시 영등포구1,서울특별시 영등포구 대림동(우성아파트앞교차로 부근),9,9,0,1,6,2,126.8986557,37.49397058
2022,,서울특별시 영등포구2,서울특별시 영등포구 당산동(당산지하차도북측 부근),8,9,0,0,8,1,126.9051801,37.53623915
2022,,서울특별시 영등포구3,서울특별시 영등포구 대림동(대림공원교차로 부근),7,7,0,3,3,1,126.90233,37.49148791
2022,,서울특별시 영등포구4,서울특별시 영등포구 당산동1가(영등포청과시장앞교차 부근),7,7,0,3,2,2,126.9009831,37.52050461
2022,,서울특별시 영등포구5,서울특별시 영등포구 당산동5가(염창교 부근),7,9,0,2,7,0,126.877763,37.5537316
2022,,서울특별시 영등포구6,서울특별시 영등포구 여의도동(영등포고가차도 부근),6,7,0,3,4,0,126.9145062,37.52010112
2022,,서울특별시 영등포구7,서울특별시 영등포구 당산동3가(영등포구청앞교차로 부근),6,7,0,1,4,2,126.8970879,37.52724204
2022,,서울특별시 영등포구8,서울특별시 영등포구 당산동(롯데1급정비공장 부근),6,8,0,0,7,1,126.896402,37.54260319
2022,,서울특별시 영등포구9,서울특별시 영등포구 양화동(한강자전거대여소양화 부근),6,6,0,0,5,1,126.892678,37.54398118
2022,,서울특별시 영등포구10,서울특별시 영등포구 신길동(신길성락주유소앞교차 부근),5,6,0,3,1,2,126.9024597,37.50409226
2022,,서울특별시 영등포구11,서울특별시 영등포구 양평동1가(양남사거리 부근),5,5,0,3,1,1,126.8900421,37.52293013
2022,,서울특별시 영등포구12,서울특별시 영등포구 양평동5가(롯데푸드본사 부근),5,6,0,1,5,0,126.890416,37.53677678
2022,,서울특별시 영등포구13,서울특별시 영등포구 영등포동7가(영등포경찰서사거리 부근),5,5,0,1,4,0,126.9039771,37.52569
2022,,서울특별시 영등포구14,서울특별시 영등포구 영등포동7가(영등포시장역앞교차로 부근),5,5,0,1,3,1,126.9051372,37.52268264
2022,,서울특별시 영등포구15,서울특별시 영등포구 양평동(오목교 부근),4,4,0,2,2,0,126.8811612,37.52330298
2022,,서울특별시 영등포구16,서울특별시 영등포구 여의도동(여의중고교앞교차로 부근),4,6,0,1,5,0,126.9328856,37.5276594
2022,,서울특별시 영등포구17,서울특별시 영등포구 양평동(세종엔까뮤스퀘어 부근),4,5,0,1,3,1,126.8883227,37.54084906
2022,,서울특별시 영등포구18,서울특별시 영등포구 여의도동(여의하류IC 부근),4,4,0,1,3,0,126.9102829,37.53085077
2022,,서울특별시 영등포구19,서울특별시 영등포구 대림동(도림청구아파트 부근),4,4,0,1,2,1,126.8963583,37.50865806
2022,,서울특별시 영등포구20,서울특별시 영등포구 도림동(도림사거리 부근),4,4,0,1,0,3,126.9012687,37.50729368
2022,,서울특별시 영등포구21,서울특별시 영등포구 신길동(영신고교입구 부근),3,4,1,0,2,1,126.9081036,37.4971442
2022,,서울특별시 동작구1,서울특별시 동작구 신대방동(대림사거리 부근),6,6,0,3,2,1,126.9067608,37.48931902
2022,,서울특별시 동작구2,서울특별시 동작구 본동(한강대교남단교차로 부근),6,6,0,2,4,0,126.9556724,37.513628
2022,,서울특별시 동작구3,서울특별시 동작구 사당동(이수역앞교차로 부근),5,6,0,3,2,1,126.9821222,37.48528347
2022,,서울특별시 동작구4,서울특별시 동작구 노량진동(중앙학원 부근),4,5,0,0,3,2,126.9442612,37.51372449
2022,,서울특별시 관악구1,서울특별시 관악구 신림동(강남우신병원 부근),6,6,0,0,6,0,126.9023918,37.48367733
2022,,서울특별시 서초구1,서울특별시 서초구 방배동(만남의광장 부근),4,4,0,1,3,0,126.9823346,37.47696616
2022,,서울특별시 강남구1,서울특별시 강남구 자곡동(자곡사거리 부근),4,5,0,2,3,0,127.1070416,37.47559261
2022,,서울특별시 강남구2,서울특별시 강남구 삼성동(강남운전면허시험장 부근),4,4,0,2,2,0,127.0680991,37.50951912
2022,,서울특별시 강남구3,서울특별시 강남구 수서동(수서역앞교차로 부근),4,4,0,2,1,1,127.1015749,37.48701261
2022,,서울특별시 강남구4,서울특별시 강남구 압구정동(동호대교JC 부근),4,7,0,1,6,0,127.0239586,37.53189771
2022,,서울특별시 강남구5,서울특별시 강남구 대치동(우석빌딩 부근),4,4,0,1,2,1,127.0600077,37.50009709
2022,,서울특별시 송파구1,서울특별시 송파구 거여동(거여동사거리 부근),9,11,0,2,6,3,127.1401329,37.49652094
2022,,서울특별시 송파구2,서울특별시 송파구 삼전동(삼전사거리 부근),7,7,0,3,3,1,127.0884774,37.50414028
2022,,서울특별시 송파구3,서울특별시 송파구 방이동(둔촌사거리 부근),7,9,0,2,7,0,127.1342985,37.52190196
